timer,tow,lla0,lla1,lla2,vel_ned0,vel_ned1,vel_ned2,hhva0,hhva1,hhva2,hhva3,acc0,acc1,acc2,rate0,rate1,rate2,quality0,quality1,quality2,
90970,4294967295,31.508691054,120.401579812,33.3168983376,-0.00622622249648,-0.00356979062781,-0.00690635666251,1.31210505962,1.09605525722e-05,3.88834405385e-06,0.0,0.00582068273798,0.00331984949298,0.997268676758,-0.135804399848,0.122162774205,0.0435044132173,0,0,0,
90980,4294967295,31.508691054,120.401579812,33.3168983376,-0.00622622249648,-0.00356979062781,-0.00690635666251,1.31210505962,1.09605525722e-05,3.88834405385e-06,0.0,0.00337579962797,0.00310427136719,0.996862649918,-0.147879824042,0.145867958665,0.0435044132173,0,0,0,
90990,4294967295,31.508691054,120.401579812,33.3168983376,-0.00622622249648,-0.00356979062781,-0.00690635666251,1.31210505962,1.09605525722e-05,3.88834405385e-06,0.0,0.00532688014209,0.00291981734335,0.996538162231,-0.130565553904,0.128404974937,0.0144388079643,0,0,0,
91000,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00557319959626,0.00291677261703,0.997918903828,-0.11875642091,0.110338822007,0.00843775831163,0,0,0,
91010,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.0042796684429,0.004072453361,0.996863305569,-0.147271350026,0.163410037756,0.0494386181235,0,0,0,
91020,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00476412149146,0.00382297788747,0.996863305569,-0.148102119565,0.123025298119,0.0494386181235,0,0,0,
91030,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00475279195234,0.00260360981338,0.997269392014,-0.136275604367,0.117009423673,0.0554396696389,0,0,0,
91040,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00483728200197,0.00341444951482,0.996051490307,-0.153694421053,0.158635303378,0.0205067042261,0,0,0,
91050,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00469089718536,0.00406601140276,0.997106134892,-0.153693556786,0.141079083085,-0.00331197027117,0,0,0,
91060,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00509153306484,0.0035707175266,0.996863305569,-0.148104384542,0.135026350617,0.0323751196265,0,0,0,
91070,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00517446035519,0.00389512232505,0.996943533421,-0.125127136707,0.12884990871,0.0442435257137,0,0,0,
91080,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00460117356852,0.00374331255443,0.997187793255,-0.119350634515,0.146820485592,0.032280985266,0,0,0,
91090,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00483726756647,0.00333152036183,0.996456623077,-0.125910326838,0.146335929632,0.0324023999274,0,0,0,
91100,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00492698000744,0.00382009730674,0.996619045734,-0.14394800365,0.117481507361,0.0321194678545,0,0,0,
91110,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00501264771447,0.00389785761945,0.996701419353,-0.136420726776,0.105137243867,0.0442435257137,0,0,0,
91120,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00500379875302,0.00340968347155,0.996376276016,-0.113359063864,0.127964600921,0.0561514981091,0,0,0,
91130,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00501153059304,0.00390035635792,0.996700048447,-0.117812745273,0.150808051229,0.032241422683,0,0,0,
91140,4294967295,31.508691075,120.401579786,33.319081259,0.00691226124763,-0.00309527036734,-0.0104687493294,1.31210315228,1.09605525722e-05,3.88834405385e-06,0.0,0.00517772324383,0.00405890261754,0.996863305569,-0.118850030005,0.157076001167,0.00838319025934,0,0,0,
