timer,tow,lla0,lla1,lla2,vel_ned0,vel_ned1,vel_ned2,hhva0,hhva1,hhva2,hhva3,acc0,acc1,acc2,rate0,rate1,rate2,quality0,quality1,quality2,
227980,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00662726955488,-0.00433763070032,0.996943533421,-0.153863742948,0.140185073018,0.0261852648109,0,0,0,
227990,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00417410116643,0.00244747567922,0.99605178833,-0.107406161726,0.128110036254,0.0376327261329,0,0,0,
228000,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00295081106015,0.00937265902758,0.996294558048,-0.113096088171,0.134439989924,0.0382697619498,0,0,0,
228010,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.0049460879527,0.00544942170382,0.996944904327,-0.14223664999,0.0865516513586,0.0199168361723,0,0,0,
228020,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00427927216515,-0.0032497246284,0.997349560261,-0.124102815986,0.134602054954,0.0438541918993,0,0,0,
228030,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00530469464138,0.00104961369652,0.996617078781,-0.0722629278898,0.127377599478,0.0379868298769,0,0,0,
228040,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00417094724253,0.00805788766593,0.997429192066,-0.07362716645,0.115627340972,0.0145997842774,0,0,0,
228050,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00282397121191,0.00531194871292,0.996538817883,-0.142682433128,0.146508619189,0.026440910995,0,0,0,
228060,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.0047171539627,-8.06798561825e-05,0.996863305569,-0.183692023158,0.123562909663,0.0557894483209,0,0,0,
228070,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00457848282531,0.00146365899127,0.997999966145,-0.135453552008,0.152424275875,0.0788223817945,0,0,0,
228080,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00414015771821,0.00643215468153,0.99653750658,-0.090253636241,0.18100450933,0.049850910902,0,0,0,
228090,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00355389621109,0.00513915950432,0.996700108051,-0.147703438997,0.146788328886,0.0320482924581,0,0,0,
228100,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00431488128379,0.000167813457665,0.997348964214,-0.196202233434,0.123276911676,0.0379824973643,0,0,0,
228110,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00546398898587,0.00129100459162,0.996538162231,-0.141676947474,0.134251460433,0.0557851158082,0,0,0,
228120,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00429099751636,0.00504678254947,0.997431278229,-0.0957964509726,0.12820532918,0.0497963391244,0,0,0,
228130,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00403503142297,0.00415530288592,0.996943533421,-0.136292695999,0.134710922837,0.0497963391244,0,0,0,
228140,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00490317307413,0.00194974488113,0.996700048447,-0.171499982476,0.135687768459,0.0323478318751,0,0,0,
228150,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00483281211928,0.0028436370194,0.997187793255,-0.13699631393,0.122998617589,0.00847731903195,0,0,0,
228160,4294967295,31.5086942204,120.401580849,33.7363165105,-0.00371956895106,0.0193759333342,0.00606613652781,2.38465309143,1.2527416402e-05,4.91375431011e-06,0.0,0.00419719982892,0.0044801547192,0.99661976099,-0.12425275892,0.1573561728,0.0025308362674,0,0,0,
228170,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00386891700327,0.00399903440848,0.996781647205,-0.129941061139,0.12838152051,0.0261184182018,0,0,0,
228180,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00450054788962,0.00236533279531,0.996861934662,-0.1256621629,0.122671462595,0.0265350397676,0,0,0,
228190,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00450134137645,0.0022816315759,0.996861219406,-0.114127911627,0.145654201508,0.0205339901149,0,0,0,
228200,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00412321463227,0.00415648659691,0.997348248959,-0.130920663476,0.146045520902,0.0145329404622,0,0,0,
228210,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00412644539028,0.00464445305988,0.997023761272,-0.131362333894,0.140274986625,0.00859873462468,0,0,0,
228220,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00467229867354,0.00276615587063,0.996698915958,-0.136967867613,0.145925730467,0.0142456749454,0,0,0,
228230,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00457803858444,0.00170834374148,0.996861279011,-0.13724014163,0.128698602319,0.0264681968838,0,0,0,
228240,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00410696770996,0.00317883840762,0.996862590313,-0.143167480826,0.128457322717,0.0322018675506,0,0,0,
228250,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00436541764066,0.00464205024764,0.996863305569,-0.125284507871,0.128151014447,0.0493717715144,0,0,0,
228260,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00476242415607,0.00382227054797,0.996862649918,-0.136576458812,0.129024893045,0.0319857783616,0,0,0,
228270,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.0048275324516,0.00219420529902,0.996942222118,-0.159258067608,0.158478096128,0.0323751196265,0,0,0,
228280,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00491217849776,0.00260433647782,0.996942818165,-0.147377192974,0.169617086649,0.050244577229,0,0,0,
228290,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00468894373626,0.00415243720636,0.997268676758,-0.124214164913,0.15169326961,0.0561392270029,0,0,0,
228300,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00451826443896,0.00350278080441,0.997187793255,-0.125272139907,0.140041857958,0.0264681968838,0,0,0,
228310,4294967295,31.5086939442,120.401583413,33.0347101875,-0.00829317327589,0.0154368281364,0.0121242245659,2.38465476036,1.2527416402e-05,4.91375431011e-06,0.0,0.00482883863151,0.00244176038541,0.997025191784,-0.131781309843,0.123129755259,0.00224790698849,0,0,0,
228320,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00442772591487,0.00301716779359,0.996781051159,-0.154049798846,0.123083740473,0.026051575318,0,0,0,
228330,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00443862425163,0.0038291614037,0.996942818165,-0.147919222713,0.129086405039,0.0613695420325,0,0,0,
228340,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00484051229432,0.00333274784498,0.997185707092,-0.129899322987,0.157381907105,0.0614407211542,0,0,0,
228350,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00475755287334,0.00308600883,0.997186362743,-0.112751469016,0.151185721159,0.0319857783616,0,0,0,
228360,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00467952527106,0.0034974378068,0.997025191784,-0.0952860936522,0.128097772598,0.0144388079643,0,0,0,
228370,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00434969412163,0.00342390569858,0.996700048447,-0.106943123043,0.128243759274,0.0263345055282,0,0,0,
228380,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00443012733012,0.00325983762741,0.996700763702,-0.147356748581,0.152945667505,0.0617904998362,0,0,0,
228390,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00475115934387,0.00309244636446,0.996539533138,-0.154099836946,0.122693233192,0.0554353408515,0,0,0,
228400,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00498855533078,0.00268365372904,0.996538817883,-0.160096764565,0.128920912743,0.0379868298769,0,0,0,
228410,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.0045866635628,0.00293197482824,0.996862590313,-0.118325419724,0.151474505663,0.0498552434146,0,0,0,
228420,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00426921481267,0.00334226991981,0.996781051159,-0.102038651705,0.134194523096,0.0443376637995,0,0,0,
228430,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.0045130266808,0.00317631103098,0.997106075287,-0.101883605123,0.139868840575,0.00850460398942,0,0,0,
228440,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00418059108779,0.00260811136104,0.99718695879,-0.118208885193,0.151585236192,0.00857144687325,0,0,0,
228450,4294967295,31.5086939332,120.401583433,33.0321463523,-0.00802512839437,0.0120635712519,0.0150413382798,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.004264222458,0.00309253507294,0.996943533421,-0.135957911611,0.169363081455,0.0439167022705,0,0,0,
228460,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00435444060713,0.00374399218708,0.997106075287,-0.142407596111,0.175098776817,0.0379868298769,0,0,0,
228470,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00427041063085,0.0035033330787,0.996943533421,-0.141237720847,0.164102271199,0.0323082692921,0,0,0,
228480,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00417573750019,0.00269060838036,0.996457278728,-0.117195360363,0.186887562275,0.037927929312,0,0,0,
228490,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00418016407639,0.00285468180664,0.996538817883,-0.102348834276,0.163885891438,0.0613695420325,0,0,0,
228500,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00410660542548,0.00342489103787,0.99637556076,-0.1194749102,0.151218801737,0.0673749297857,0,0,0,
228510,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00427007256076,0.00334343407303,0.996862590313,-0.118074692786,0.143934160471,0.0439167059958,0,0,0,
228520,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00434649549425,0.0029362689238,0.997269928455,-0.112650513649,0.151230111718,0.0256385635585,0,0,0,
228530,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00467473594472,0.00301145203412,0.997432529926,-0.107292562723,0.152015984058,0.0379552133381,0,0,0,
228540,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00451140338555,0.00309342611581,0.997512817383,-0.117664642632,0.140318065882,0.0383366085589,0,0,0,
228550,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.0041106431745,0.00342213921249,0.997431814671,-0.12958741188,0.145803391933,0.0324692465365,0,0,0,
228560,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00435609137639,0.00358119793236,0.997269332409,-0.141620561481,0.158122524619,0.0379824973643,0,0,0,
228570,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00467876018956,0.00317213241942,0.997512817383,-0.142409041524,0.117228150368,0.0324023999274,0,0,0,
228580,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00458578811958,0.00268377829343,0.997025191784,-0.147972196341,0.129014119506,0.0262676589191,0,0,0,
228590,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00449893949553,0.00252702296712,0.996538877487,-0.135957494378,0.152581512928,0.0491556860507,0,0,0,
228600,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00442291470245,0.00285342824645,0.996619045734,-0.136091411114,0.152555316687,0.0721174553037,0,0,0,
228610,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00443172175437,0.00342199555598,0.996537029743,-0.130723103881,0.116974100471,0.0494026765227,0,0,0,
228620,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.0045962780714,0.00317367981188,0.996698856354,-0.132123723626,0.111116342247,0.0204794220626,0,0,0,
228630,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.0047617056407,0.00333597720601,0.99710470438,-0.161001652479,0.110371671617,0.0367369614542,0,0,0,
228640,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00452152360231,0.00366476061754,0.996942818165,-0.154374688864,0.117169827223,0.0833618119359,0,0,0,
228650,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00427083764225,0.00334382243454,0.996537446976,-0.130728274584,0.116900928319,0.0550855584443,0,0,0,
228660,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00442404998466,0.00277187139727,0.996456623077,-0.125354424119,0.122706711292,0.0261140875518,0,0,0,
228670,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00443125888705,0.00309145078063,0.997106790543,-0.130497455597,0.116525962949,0.0324692465365,0,0,0,
228680,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00443816184998,0.0032541367691,0.997512161732,-0.107443995774,0.140488728881,0.0558562874794,0,0,0,
228690,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00451903929934,0.00349756726064,0.997430562973,-0.101274363697,0.15782341361,0.0785437822342,0,0,0,
228700,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00491978600621,0.00317239644937,0.996943533421,-0.113471657038,0.157148763537,0.0610197708011,0,0,0,
228710,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00474951928481,0.00284712505527,0.996538817883,-0.160430043936,0.134691432118,0.0558562874794,0,0,0,
228720,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00458779139444,0.00301022804342,0.99637556076,-0.171484768391,0.151921749115,0.084411136806,0,0,0,
228730,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00459667248651,0.00341837364249,0.997024536133,-0.166008755565,0.140053987503,0.0606743246317,0,0,0,
228740,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00443690922111,0.0033366677817,0.997512161732,-0.137110382318,0.121803872287,0.00838264636695,0,0,0,
228750,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00475725019351,0.00317356991582,0.997350275517,-0.109312750399,0.103525355458,0.00273137353361,0,0,0,
228760,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00467116711661,0.0029319152236,0.996862590313,-0.109396956861,0.104795053601,0.0316360071301,0,0,0,
228770,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00484132394195,0.00333339977078,0.996861934662,-0.130970925093,0.129106253386,0.0558562912047,0,0,0,
228780,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00435125688091,0.00325767393224,0.996618449688,-0.136003345251,0.128538757563,0.0672052949667,0,0,0,
228790,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00418060924858,0.00269096228294,0.99653750658,-0.119361676276,0.139132708311,0.0621402747929,0,0,0,
228800,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00419109500945,0.00317903794348,0.997106790543,-0.119760073721,0.139327898622,0.0323082692921,0,0,0,
228810,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00452143093571,0.00382241117768,0.997025191784,-0.119220256805,0.157317772508,0.0439878813922,0,0,0,
228820,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00467915879562,0.00365848653018,0.996699333191,-0.135115504265,0.163796380162,0.0499220900238,0,0,0,
228830,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00475561013445,0.0032504897099,0.996699988842,-0.14723354578,0.1821962744,0.0495723076165,0,0,0,
228840,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.00492135854438,0.00300494022667,0.997106075287,-0.119273722172,0.158141985536,0.0432214811444,0,0,0,
228850,4294967295,31.508693945,120.40158344,33.0379696935,-0.00977822765708,0.0153357572854,0.00995248369873,1.49777877331,1.2527416402e-05,4.91375431011e-06,0.0,0.0048401420936,0.00317096337676,0.997106075287,-0.113159544766,0.163973525167,0.0323355607688,0,0,0,
228860,4294967295,31.508693718,120.401584525,32.986317168,-0.00284247775562,0.00220718164928,0.00416786177084,1.4977722168,2.45968349191e-05,5.68512632526e-06,0.0,0.004514278844,0.00309563986957,0.997348964214,-0.124902933836,0.146904081106,0.0383761674166,0,0,0,
228870,4294967295,31.508693718,120.401584525,32.986317168,-0.00284247775562,0.00220718164928,0.00416786177084,1.4977722168,2.45968349191e-05,5.68512632526e-06,0.0,0.00435097841546,0.00317890266888,0.997266590595,-0.13617670536,0.152046129107,0.0495054647326,0,0,0,
228880,4294967295,31.508693718,120.401584525,32.986317168,-0.00284247775562,0.00220718164928,0.00416786177084,1.4977722168,2.45968349191e-05,5.68512632526e-06,0.0,0.00459353392944,0.00333651830442,0.997023761272,-0.153554618359,0.156475111842,0.0677247047424,0,0,0,
228890,4294967295,31.508693718,120.401584525,32.986317168,-0.00284247775562,0.00220718164928,0.00416786177084,1.4977722168,2.45968349191e-05,5.68512632526e-06,0.0,0.00450859963894,0.00309497327544,0.996862649918,-0.141720294952,0.180272489786,0.0621402747929,0,0,0,
228900,4294967295,31.508693718,120.401584525,32.986317168,-0.00284247775562,0.00220718164928,0.00416786177084,1.4977722168,2.45968349191e-05,5.68512632526e-06,0.0,0.00443211663514,0.00309504382312,0.99702590704,-0.131252929568,0.186793863773,0.0319857783616,0,0,0,
228910,4294967295,31.508693718,120.401584525,32.986317168,-0.00284247775562,0.00220718164928,0.00416786177084,1.4977722168,2.45968349191e-05,5.68512632526e-06,0.0,0.00451337499544,0.003254102543,0.996782362461,-0.119542852044,0.187304377556,0.026051575318,0,0,0,
228920,4294967295,31.508693718,120.401584525,32.986317168,-0.00284247775562,0.00220718164928,0.00416786177084,1.4977722168,2.45968349191e-05,5.68512632526e-06,0.0,0.00410259142518,0.00309749529697,0.996698915958,-0.152835711837,0.182222411036,0.026051575318,0,0,0,
228930,4294967295,31.508693718,120.401584525,32.986317168,-0.00284247775562,0.00220718164928,0.00416786177084,1.4977722168,2.45968349191e-05,5.68512632526e-06,0.0,0.00458862027153,0.00292797968723,0.996779918671,-0.159696504474,0.158323615789,0.0141831627116,0,0,0,
228940,4294967295,31.508693718,120.401584525,32.986317168,-0.00284247775562,0.00220718164928,0.00416786177084,1.4977722168,2.45968349191e-05,5.68512632526e-06,0.0,0.00492177484557,0.00341392192058,0.996781051159,-0.130376085639,0.150992006063,0.00857144687325,0,0,0,
228950,4294967295,31.508693718,120.401584525,32.986317168,-0.00284247775562,0.00220718164928,0.00416786177084,1.4977722168,2.45968349191e-05,5.68512632526e-06,0.0,0.00450575724244,0.00326041504741,0.99613237381,-0.106814473867,0.168675526977,0.049850910902,0,0,0,
