timer,tow,lla0,lla1,lla2,vel_ned0,vel_ned1,vel_ned2,hhva0,hhva1,hhva2,hhva3,acc0,acc1,acc2,rate0,rate1,rate2,quality0,quality1,quality2,
248330,452712599,31.508683602,120.401547039,31.7763809683,-0.001600525924,-0.000423398625571,-0.0137570947409,1.32869803905,0.00126192811877,0.000571521755774,0.0,0.00314108259045,0.00384186138399,0.997427761555,-0.159833997488,0.117569223046,0.0895702913404,3,0,0,
248340,452712599,31.508683602,120.401547039,31.7763809683,-0.001600525924,-0.000423398625571,-0.0137570947409,1.32869803905,0.00126192811877,0.000571521755774,0.0,0.00395824201405,0.00374826625921,0.998403251171,-0.153552830219,0.157944917679,0.0892916843295,3,0,0,
248350,452712599,31.508683602,120.401547039,31.7763809683,-0.001600525924,-0.000423398625571,-0.0137570947409,1.32869803905,0.00126192811877,0.000571521755774,0.0,0.00165125599597,0.00370169151574,0.994346559048,-0.135776668787,0.157831147313,0.101160094142,3,0,0,
248360,452712599,31.508683602,120.401547039,31.7763809683,-0.001600525924,-0.000423398625571,-0.0137570947409,1.32869803905,0.00126192811877,0.000571521755774,0.0,0.00355679821223,0.00399953639135,0.999134600163,-0.137303814292,0.0930367857218,0.101859651506,3,0,0,
248370,452712599,31.508683602,120.401547039,31.7763809683,-0.001600525924,-0.000423398625571,-0.0137570947409,1.32869803905,0.00126192811877,0.000571521755774,0.0,0.00345689919777,0.00359716638923,0.99726587534,-0.148180887103,0.145175263286,0.0959966182709,3,0,0,
248380,452712599,31.508683602,120.401547039,31.7763809683,-0.001600525924,-0.000423398625571,-0.0137570947409,1.32869803905,0.00126192811877,0.000571521755774,0.0,0.00189965532627,0.00386164034717,0.995157778263,-0.16596660018,0.140548765659,0.10116443038,3,0,0,
248390,452712599,31.508683602,120.401547039,31.7763809683,-0.001600525924,-0.000423398625571,-0.0137570947409,1.32869803905,0.00126192811877,0.000571521755774,0.0,0.00354663282633,0.00375546445139,0.997754275799,-0.165861576796,0.123117536306,0.124197371304,3,0,0,
248400,452712599,31.508683602,120.401547039,31.7763809683,-0.001600525924,-0.000423398625571,-0.0137570947409,1.32869803905,0.00126192811877,0.000571521755774,0.0,0.00395054649562,0.00318246032111,0.997510135174,-0.14840297401,0.140228882432,0.0777105391026,3,0,0,
248410,452712599,31.508683602,120.401547039,31.7763809683,-0.001600525924,-0.000423398625571,-0.0137570947409,1.32869803905,0.00126192811877,0.000571521755774,0.0,0.00313865602948,0.00400643283501,0.996373832226,-0.148276463151,0.146063104272,0.0427380129695,3,0,0,
248420,452712599,31.508683602,120.401547039,31.7763809683,-0.001600525924,-0.000423398625571,-0.0137570947409,1.32869803905,0.00126192811877,0.000571521755774,0.0,0.002890747739,0.00384585186839,0.996292829514,-0.141977369785,0.128323197365,0.048672221601,3,0,0,
